,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game_ID,Home_Name,Away_Name,Home_Goals,Away_Goals,Home_PP%,Away_PP%,Home_SOG,Away_SOG,Home_FOW%,Away_FOW%
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014692,Prince George Cougars,Calgary Hitmen,7,1,0.2857142857142857,0.25,34,17,0.4333333333333333,0.5666666666666667
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1014699,Kamloops Blazers,Calgary Hitmen,2,4,0.0,0.0,32,56,0.4929577464788732,0.5070422535211268
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1014708,Kelowna Rockets,Calgary Hitmen,3,4,0.1666666666666666,0.0,34,26,0.4615384615384615,0.5384615384615384
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1014720,Calgary Hitmen,Lethbridge Hurricanes,1,3,0.0,0.2857142857142857,31,37,0.5,0.5
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1014735,Red Deer Rebels,Calgary Hitmen,4,2,0.0,0.0,31,26,0.576271186440678,0.423728813559322
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1014748,Calgary Hitmen,Prince George Cougars,2,1,0.0,0.0,40,34,0.6142857142857143,0.3857142857142857
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1014752,Calgary Hitmen,Spokane Chiefs,4,6,0.4,0.5,34,38,0.5211267605633803,0.4788732394366197
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1014763,Prince Albert Raiders,Brandon Wheat Kings,4,1,0.5,0.0,19,35,0.3396226415094339,0.660377358490566
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1014764,Lethbridge Hurricanes,Calgary Hitmen,5,4,0.0,0.5,37,34,0.4743589743589743,0.5256410256410257
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1014770,Calgary Hitmen,Seattle Thunderbirds,3,4,0.1666666666666666,0.5,28,31,0.5441176470588235,0.4558823529411764
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1014773,Saskatoon Blades,Brandon Wheat Kings,4,1,0.5,0.2,23,33,0.5072463768115942,0.4927536231884058
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1014777,Edmonton Oil Kings,Regina Pats,3,5,0.4,0.6,40,30,0.527027027027027,0.4729729729729729
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1014784,Regina Pats,Wenatchee Wild,5,1,0.25,0.0,42,23,0.5652173913043478,0.4347826086956521
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1014789,Brandon Wheat Kings,Wenatchee Wild,2,4,0.5,0.1666666666666666,35,27,0.5737704918032787,0.4262295081967213
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1014790,Regina Pats,Red Deer Rebels,4,3,0.4285714285714285,0.0,48,28,0.5,0.5
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1014791,Lethbridge Hurricanes,Calgary Hitmen,3,6,0.5,0.0,37,31,0.5245901639344263,0.4754098360655737
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1014796,Victoria Royals,Kelowna Rockets,2,4,0.1428571428571428,0.6666666666666666,28,38,0.4193548387096774,0.5806451612903226
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,1014798,Brandon Wheat Kings,Wenatchee Wild,2,0,0.0,0.0,32,23,0.6166666666666667,0.3833333333333333
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1014799,Calgary Hitmen,Lethbridge Hurricanes,6,3,0.4,0.2,34,31,0.4507042253521127,0.5492957746478874
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,1014804,Victoria Royals,Kelowna Rockets,4,2,0.0,0.5,32,22,0.4098360655737705,0.5901639344262295
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1014808,Calgary Hitmen,Medicine Hat Tigers,2,4,0.5,0.0,25,30,0.5625,0.4375
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1014811,Regina Pats,Moose Jaw Warriors,2,3,0.2,0.3333333333333333,33,30,0.5806451612903226,0.4193548387096774
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,1014815,Victoria Royals,Edmonton Oil Kings,3,2,0.4,0.25,22,34,0.5416666666666666,0.4583333333333333
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,1014816,Kelowna Rockets,Vancouver Giants,5,4,0.4,0.6,35,28,0.5070422535211268,0.4929577464788732
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1014819,Brandon Wheat Kings,Saskatoon Blades,3,1,0.2,0.0,24,37,0.5333333333333333,0.4666666666666667
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1014821,Medicine Hat Tigers,Calgary Hitmen,4,3,0.5,0.25,36,39,0.4520547945205479,0.547945205479452
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,1014824,Kelowna Rockets,Red Deer Rebels,5,2,0.5,0.0,32,29,0.4918032786885246,0.5081967213114754
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1014825,Vancouver Giants,Victoria Royals,4,1,0.2,0.0,27,38,0.4509803921568627,0.5490196078431373
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1014827,Moose Jaw Warriors,Regina Pats,3,1,0.0,0.0,46,24,0.5147058823529411,0.4852941176470588
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1014830,Brandon Wheat Kings,Calgary Hitmen,6,5,0.5,0.0,23,32,0.5,0.5
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1014832,Medicine Hat Tigers,Wenatchee Wild,4,1,0.0,0.0,28,31,0.5689655172413793,0.4310344827586206
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1014833,Kelowna Rockets,Edmonton Oil Kings,5,2,0.0,0.2,29,23,0.5517241379310345,0.4482758620689655
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1014835,Victoria Royals,Red Deer Rebels,3,5,0.2,0.0,31,30,0.4561403508771929,0.543859649122807
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,1014836,Regina Pats,Calgary Hitmen,4,3,0.25,0.5,40,28,0.5964912280701754,0.4035087719298245
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,1014841,Moose Jaw Warriors,Calgary Hitmen,5,2,0.6,0.2,34,40,0.4285714285714285,0.5714285714285714
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,1014842,Saskatoon Blades,Brandon Wheat Kings,1,4,0.2,0.2857142857142857,43,25,0.453125,0.546875
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1014843,Medicine Hat Tigers,Swift Current Broncos,3,4,0.0,0.5,42,16,0.4428571428571428,0.5571428571428572
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1014847,Kelowna Rockets,Lethbridge Hurricanes,7,4,0.5,0.2,34,34,0.5324675324675324,0.4675324675324675
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,1014849,Spokane Chiefs,Victoria Royals,0,1,0.0,0.0,19,24,0.5416666666666666,0.4583333333333333
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1014851,Swift Current Broncos,Calgary Hitmen,2,1,0.0,0.2,25,42,0.5211267605633803,0.4788732394366197
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1014854,Portland Winterhawks,Regina Pats,3,1,0.3333333333333333,0.0,32,28,0.4912280701754385,0.5087719298245614
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1014857,Vancouver Giants,Kelowna Rockets,6,1,1.0,0.3333333333333333,37,27,0.4782608695652174,0.5217391304347826
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,1014859,Tri-City Americans,Victoria Royals,3,7,0.5,0.0,28,32,0.5789473684210527,0.4210526315789473
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1014861,Brandon Wheat Kings,Swift Current Broncos,7,3,0.6,0.3333333333333333,36,41,0.4714285714285714,0.5285714285714286
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,1014862,Everett Silvertips,Regina Pats,1,2,0.1666666666666666,0.0,39,50,0.4776119402985074,0.5223880597014925
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1014865,Prince George Cougars,Medicine Hat Tigers,4,7,0.0,0.4,38,34,0.4415584415584415,0.5584415584415584
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,1014866,Victoria Royals,Lethbridge Hurricanes,4,10,0.3333333333333333,0.5454545454545454,24,37,0.4262295081967213,0.5737704918032787
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,1014868,Calgary Hitmen,Portland Winterhawks,3,7,0.0,0.6,26,37,0.5857142857142857,0.4142857142857143
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1014869,Prince George Cougars,Medicine Hat Tigers,3,7,0.3333333333333333,0.3333333333333333,45,42,0.5189873417721519,0.4810126582278481
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1014871,Seattle Thunderbirds,Regina Pats,6,3,0.5,0.3333333333333333,40,36,0.5384615384615384,0.4615384615384615
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1014872,Spokane Chiefs,Kelowna Rockets,6,2,0.0,0.0,46,20,0.4754098360655737,0.5245901639344263
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,1014875,Saskatoon Blades,Brandon Wheat Kings,6,5,0.3333333333333333,0.4,43,31,0.65625,0.34375
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1014878,Kamloops Blazers,Medicine Hat Tigers,6,3,0.5,0.0,49,37,0.4696969696969697,0.5303030303030303
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1014879,Tri-City Americans,Regina Pats,6,0,0.3333333333333333,0.0,24,30,0.5245901639344263,0.4754098360655737
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,1014880,Victoria Royals,Seattle Thunderbirds,4,3,0.1428571428571428,0.0,23,46,0.5535714285714286,0.4464285714285714
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,1014881,Vancouver Giants,Kelowna Rockets,2,3,0.125,0.5,32,24,0.55,0.45
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1014883,Calgary Hitmen,Red Deer Rebels,2,1,0.25,0.0,22,25,0.4509803921568627,0.5490196078431373
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,1014885,Swift Current Broncos,Brandon Wheat Kings,2,3,0.3333333333333333,0.0,48,27,0.5121951219512195,0.4878048780487805
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,1014888,Kamloops Blazers,Prince George Cougars,4,3,0.3333333333333333,0.0,30,41,0.5,0.5
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,1014889,Kelowna Rockets,Medicine Hat Tigers,4,0,0.0,0.0,16,38,0.532258064516129,0.4677419354838709
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1014890,Spokane Chiefs,Regina Pats,7,3,0.8,0.0,32,23,0.5245901639344263,0.4754098360655737
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,1014891,Victoria Royals,Seattle Thunderbirds,2,1,0.2,0.1428571428571428,18,37,0.5263157894736842,0.4736842105263157
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1014893,Moose Jaw Warriors,Victoria Royals,7,4,0.3333333333333333,0.2,37,22,0.5833333333333334,0.4166666666666667
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,1014895,Red Deer Rebels,Brandon Wheat Kings,5,6,0.5,0.25,40,33,0.59375,0.40625
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1014898,Edmonton Oil Kings,Brandon Wheat Kings,1,3,0.2,0.3333333333333333,34,23,0.4666666666666667,0.5333333333333333
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,1014900,Medicine Hat Tigers,Portland Winterhawks,2,5,0.5,0.5,31,39,0.5161290322580645,0.4838709677419355
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,1014901,Swift Current Broncos,Victoria Royals,3,2,0.2857142857142857,0.3333333333333333,39,37,0.4285714285714285,0.5714285714285714
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,1014904,Kelowna Rockets,Prince George Cougars,5,3,0.5,0.3333333333333333,29,29,0.4444444444444444,0.5555555555555556
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,1014906,Calgary Hitmen,Prince Albert Raiders,3,5,0.3333333333333333,0.0,29,29,0.5614035087719298,0.4385964912280701
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,1014907,Lethbridge Hurricanes,Brandon Wheat Kings,1,5,0.0,0.0,33,38,0.5087719298245614,0.4912280701754385
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,1014908,Red Deer Rebels,Regina Pats,2,4,0.2,0.6666666666666666,23,31,0.3934426229508196,0.6065573770491803
